# Traits in Affinity,weapon,# Traits,body,rune,% Traits in Affinity,Affinity,background,head,companion,shield,token_id,numTraits,image,name
5,Battle Axe,5,Brown Tunic Armor,Rune of Steel,100 percent,Armor,Blue,Templar,,Gold Herald Shield,16,10,https://portal.forgottenrunes.com/api/warriors/img/16,Humphrey Slayer of Warlocks
4,Shortbow,6,Guardian Zero,Rune of Saturn,66 percent,Verdant,Green,Summer Warrior,Gigas Hornet,Toxin Shield,17,11,https://portal.forgottenrunes.com/api/warriors/img/17,Cassia Mischief Maker of Robots
3,Wooden Hammer,6,Nord Armor,Rune of Neptune,50 percent,Blue Shift,Blue,Winter Warrior,Wild Eagle,Gold Holy Shield,18,11,https://portal.forgottenrunes.com/api/warriors/img/18,Alesssandra Bludgeoner of Flowers
3,Bo Staff,6,Green Amazonian Jumpsuit,Rune of Sun,50 percent,Wild,Black,Bonnie Lass,Northern Lynx,Air Elemental Shield,19,11,https://portal.forgottenrunes.com/api/warriors/img/19,Rachel Clobberer of all that is Holy
4,Spetum,6,Blue Valkyrie Armor,Rune of Water,66 percent,Blue Shift,Blue,Corsair,Gigas Hornet,Water Elemental Shield,20,11,https://portal.forgottenrunes.com/api/warriors/img/20,Adele Champion of the Rock
3,Silver Poleaxe,5,Street Hoodlum,Rune of Air,60 percent,Blue Shift,Blue,Jarl Raider,Mutant Snapping Turtle,,21,10,https://portal.forgottenrunes.com/api/warriors/img/21,Faris Guardian of the Alley
5,Red Shortsword,6,Blue Hedge Knight Armor,Rune of Fire,83 percent,Medieval,Black,Horse Head,Wild Eagle,Might Shield,22,11,https://portal.forgottenrunes.com/api/warriors/img/22,Edmund Chisler of the Mountain
3,Tuck,5,Argyropoeia Bot,Rune of Mars,60 percent,Armor,Black,Visor Knight,Hyena,,23,10,https://portal.forgottenrunes.com/api/warriors/img/23,Bardora Fencer of X
4,Purple Longsword,6,West Woodland Cloak,Rune of Saturn,66 percent,Forest,Green,Summer Warrior,Dirt Pig,Magic Shield,24,11,https://portal.forgottenrunes.com/api/warriors/img/24,Luna Slayer of Furgnomes
2,Bottle of Rune Beer,6,Blue Tunic Armor,Rune of Fire,33 percent,Fur,Blue,Polar Man,Northern Lynx,Gold Holy Shield,25,11,https://portal.forgottenrunes.com/api/warriors/img/25,Ward of the Moon
5,Wooden Club,5,Green Tunic Armor,Rune of Jupiter,100 percent,Heavy,Black,Imp Warrior,,Tomb Shield,26,10,https://portal.forgottenrunes.com/api/warriors/img/26,Duzzle Eliminator of the East
2,Rapier,4,Yellow Wrestling Singlet,Rune of Jupiter,50 percent,Heavy,Blue,Lycan Warrior,,,27,9,https://portal.forgottenrunes.com/api/warriors/img/27,Bruno Cad of Concrete
3,Estoc,4,Woodland Armor,,75 percent,Feminine,Blue,Yellow Horn Lady Buff,,Tomb Shield,28,9,https://portal.forgottenrunes.com/api/warriors/img/28,Oula Marauder of the Wood
3,Red Broadsword,6,Goblin Toga,Rune of Earth,50 percent,Wild,Green,Goblin,Woodland Wolverine,Triple Triangle Shield,29,11,https://portal.forgottenrunes.com/api/warriors/img/29,Oiq Vanquisher of Wizards
3,Rogue Falchion,6,Sovereign Epic Gear,Rune of Sun,50 percent,Crimson,Black,Ether Horn Helm,Night Wolf,Shield of the Sun,30,11,https://portal.forgottenrunes.com/api/warriors/img/30,Abaddon Lopper of Atlantis
2,Longbow,4,Gladiator's Cloak with Olive Briefs,,50 percent,Grey,Blue,Legionnaire Helmet,,Green Buckler,31,9,https://portal.forgottenrunes.com/api/warriors/img/31,Marcus Eradicator of the Cockatrice
3,Estoc,4,Brown Hedge Knight Armor,,75 percent,Knight,Blue,Olive Mendicant,,Air Elemental Shield,32,9,https://portal.forgottenrunes.com/api/warriors/img/32,Zaire Fortune-Hunter of the Wild
3,Malachite Dragon Pike,5,Street Punk with Green Camo,Rune of Air,60 percent,Verdant,Green,Green Knight Helm,Spectacled Falcon,,33,10,https://portal.forgottenrunes.com/api/warriors/img/33,Robert Eidolon of Kobolds
4,Green Longsword,6,South Woodland Cloak,Rune of Saturn,66 percent,Verdant,Green,Marsh Girl,Night Wolf,Green Buckler,34,11,https://portal.forgottenrunes.com/api/warriors/img/34,Tracy Bifurcator of Flowers
4,Green Longsword,6,South Woodland Cloak,Rune of Up,66 percent,Verdant,Green,Marsh Girl,Old World Mandrill,Green Kite,35,11,https://portal.forgottenrunes.com/api/warriors/img/35,Greta Dismantler of the Wood
2,,3,Fur Barbarian,,66 percent,Wild,Black,Dune Man,,White Holy Shield,36,8,https://portal.forgottenrunes.com/api/warriors/img/36,Raymond Waster of the Arena
5,Red Broadsword,6,Aura Knight with Blue Cloak,Rune of Brass,83 percent,Crimson,Red,Blue Dwarven Helm,Crimson Jaguar,Shield of Blood Skull,37,11,https://portal.forgottenrunes.com/api/warriors/img/37,Aldokeg Carver of Atlantis
3,Chakram,4,White Hedge Knight Armor,,75 percent,Knight,Blue,Cool Guy,,Gold Herald Shield,38,9,https://portal.forgottenrunes.com/api/warriors/img/38,Mace Rapscallion of Cataclysm
3,Sol Sword,6,Omega Plate Armor,Rune of Neptune,50 percent,Blue Shift,Blue,Blue Knight Helm,Golden Jaguar,Shield of the Moon,39,11,https://portal.forgottenrunes.com/api/warriors/img/39,Marmaduke Sword of the Range
3,Nunchaku,5,Yellow Wrestling Singlet,Rune of Cinnabar,60 percent,Wild,Green,Mescaline Warrior,Buffkin,,40,10,https://portal.forgottenrunes.com/api/warriors/img/40,Donovan Clobberer of the Coliseum
3,Malachite Dragon Pike,4,Gold Belt Ruffian,,75 percent,Crimson,Red,Blue Dwarven Helm,Hyena,,41,9,https://portal.forgottenrunes.com/api/warriors/img/41,Glorn Lacerator of Goblin Town
4,Blue Broadsword,5,Street Hoodlum,Rune of Mars,80 percent,Heavy,Blue,Shutter Knight,Wild Eagle,,42,10,https://portal.forgottenrunes.com/api/warriors/img/42,Wuri Carver of the Road
4,Spetum,6,Aura Knight with Blue Cloak,Rune of Brimstone,66 percent,Blue Shift,Blue,Blue Knight Helm,Field Hound,Blue Buckler,43,11,https://portal.forgottenrunes.com/api/warriors/img/43,Richard Paragon of the South
3,Jungle Boomerang,6,Prism Armor,Rune of Brimstone,50 percent,Blackness,Black,Executioner,Onyx Panther,Guardian Shield,44,11,https://portal.forgottenrunes.com/api/warriors/img/44,Baal Champion of the Gate
4,Tuck,6,Banded Armor of the Forest,Rune of Fire,66 percent,Knight,Green,Green Knight Helm,Spectacled Falcon,Yellow Buckler,45,11,https://portal.forgottenrunes.com/api/warriors/img/45,Drogo Ranger of Light
3,Titan Cleaver,6,Red Knight,Rune of Water,50 percent,Guard,Red,She Wolf,Field Hound,Red Aspis,46,11,https://portal.forgottenrunes.com/api/warriors/img/46,Adele Wounder of Wizards
3,Tuck,5,Argyropoeia Bot,Rune of Jupiter,60 percent,Cyber,Green,BucketHead: Atomic 79,Robo Dog,,47,10,https://portal.forgottenrunes.com/api/warriors/img/47,Metron Ruffian of Zero
4,Night Razor,6,Purple Macho Pants,Rune of Saturn,66 percent,Blackness,Black,Wrestler Giant,Onyx Panther,Magic Shield,48,11,https://portal.forgottenrunes.com/api/warriors/img/48,Kojak Beheader of the Duck Alliance
3,Blue Broadsword,6,Alchemist Armor,Rune of Earth,50 percent,Blue Shift,Blue,Corsair,Woodland Wolverine,Wooden Shield,49,11,https://portal.forgottenrunes.com/api/warriors/img/49,Gertrude Ravager of the Guild
3,Rapier,5,Surd Armor,Rune of Earth,60 percent,Guard,Blue,Vedic Warrior,,Red Kite,50,10,https://portal.forgottenrunes.com/api/warriors/img/50,Navi Romantic of Light
3,Gladiator Sword,5,Bone Warrior,Rune of Jupiter,60 percent,Feminine,Blue,Forgotten Lady,,Red Herald Shield,51,10,https://portal.forgottenrunes.com/api/warriors/img/51,Aida Ruin of the Coliseum
4,Silver Poleaxe,6,Highlander's Tartan,Rune of Neptune,66 percent,Blue Shift,Blue,Guardian Helm,Royal Razorback,Water Elemental Shield,52,11,https://portal.forgottenrunes.com/api/warriors/img/52,James Vanquisher of the Lochs
4,Goblin Sword,6,Aura Knight with Red Cloak,Rune of Brimstone,66 percent,Crimson,Red,Meriotic Warrior,Old World Mandrill,Yellow Buckler,53,11,https://portal.forgottenrunes.com/api/warriors/img/53,Adisa Paragon of the Wild
3,Bush Spear,6,Xanthous Paladin Gear,Rune of Brass,50 percent,Medieval,Green,Akkadian,Wild Eagle,Yellow Kite,54,11,https://portal.forgottenrunes.com/api/warriors/img/54,Tamzi Protector of the Wild
5,East Side Pipe Wrench,6,Gallus Gear,Rune of Sigma,83 percent,Crimson,Red,Blood Horn Helm,Scarlet Macaw,Eternal Love Shield,55,11,https://portal.forgottenrunes.com/api/warriors/img/55,Dain Breaker of the Arena
4,Butcher Knife,5,Sakura Dress,Rune of Saturn,80 percent,Blue Shift,Blue,Hibernian,Ultramarine Rhinoceros Beetle,,56,10,https://portal.forgottenrunes.com/api/warriors/img/56,Tori Plunderer of the Shadows
3,Chakram,5,Goblin Footsoldier,Rune of Uranus,60 percent,Gladiator,Blue,Capped Goblin,,Purple Kite,57,10,https://portal.forgottenrunes.com/api/warriors/img/57,Al Shark of Torment Manor
3,Blue Shortsword,6,Gladiator's Cloak with Green Briefs,Rune of Earth,50 percent,Gladiator,Blue,Foot Soldier Helm,Field Hound,White Kite,58,11,https://portal.forgottenrunes.com/api/warriors/img/58,Bruce Mincer of the Pavillion
5,Bush Spear,6,Red One Piece,Rune of Venus,83 percent,Crimson,Red,Spring Warrior,Scarlet Swine,Tanker Heater Shield,59,11,https://portal.forgottenrunes.com/api/warriors/img/59,Millicent Savior of the Mountain
2,Brown Longsword,4,Argyropoeia Bot,Rune of Venus,50 percent,Cyber,Black,Visor Knight,,,60,9,https://portal.forgottenrunes.com/api/warriors/img/60,Hamma Antagonist of X
3,,5,Nord Armor,Rune of Pluto,60 percent,Darkness,Blue,Lady of the Oasis,Wild Eagle,Iron Buckler,61,10,https://portal.forgottenrunes.com/api/warriors/img/61,Alicia Dicer of Knights
3,Red Shortsword,5,Zuli Suit,Rune of Cinnabar,60 percent,Feminine,Blue,Abyssinian,,Shield of Balance,62,10,https://portal.forgottenrunes.com/api/warriors/img/62,Yejide Piercer of the Jungle
2,Battle Axe,4,Purple Knight,,50 percent,Pantheon,Black,Kushite,,Gold Holy Shield,63,9,https://portal.forgottenrunes.com/api/warriors/img/63,Omolara Nullifier of Dragons
3,Sabre,5,Murmillo Gear,Rune of Venus,60 percent,Armor,Blue,Mountain Warrior,,Iron Buckler,64,10,https://portal.forgottenrunes.com/api/warriors/img/64,Serge Amputator of the Ruins
3,Stratiotai Spear,6,Yellow Provocator Garb,Rune of Water,50 percent,Sea,Blue,Lycan Warrior,Gigas Hornet,White Holy Shield,65,11,https://portal.forgottenrunes.com/api/warriors/img/65,Magnus Impaler of the Valley
3,Blue Shortsword,4,Capital City Keikogi,,75 percent,Blue Shift,Blue,Thrall Ruffian,Ultramarine Rhinoceros Beetle,,66,9,https://portal.forgottenrunes.com/api/warriors/img/66,Dash Dissector of the Street
4,Goblin Sword,6,Sovereign Epic Gear,Rune of Jupiter,66 percent,Crimson,Red,Stratiotai,Northern Lynx,Red Kite,67,11,https://portal.forgottenrunes.com/api/warriors/img/67,Rahid Assaulter of the Rock
3,Partisan,6,Sapphire Paladin Gear,Rune of Water,50 percent,Rugged,Black,Polar Man,Spectacled Falcon,Wooden Buckler,68,11,https://portal.forgottenrunes.com/api/warriors/img/68,Andrei Poker of Titans
3,Dane Axe,5,Street Punk with Rose Camo,Rune of Mercury,60 percent,Wild,Black,Corsair,Onyx Panther,,69,10,https://portal.forgottenrunes.com/api/warriors/img/69,Bambam Battler of the Docks
5,Iron Hammer,6,Prism Armor,Rune of Neptune,83 percent,Brute,Black,Wrestler Giant,Night Wolf,Tomb Shield,70,11,https://portal.forgottenrunes.com/api/warriors/img/70,Keoni Obliterator of Crystals
4,Lavender Double Blade,6,Gladiator's Cloak with Purple Briefs,Rune of Fire,66 percent,Purple Haze,Purple,Stunt Man,Null Goat,Mushroom Shield,71,11,https://portal.forgottenrunes.com/api/warriors/img/71,Umberto Dispatcher of the Valley
3,Sabre,5,Red One Piece,Rune of Saturn,60 percent,Feminine,Blue,Lady of the Oasis,,Shield of the Sun,72,10,https://portal.forgottenrunes.com/api/warriors/img/72,Blake Ruin of the Sun
5,Wooden Hammer,6,White One Piece,Rune of Cinnabar,83 percent,Gold,Blue,Forgotten Lady,Gigas Hornet,Gold Herald Shield,73,11,https://portal.forgottenrunes.com/api/warriors/img/73,Isane Mangler of the North
3,Blue Longsword,5,Green Hedge Knight Armor,Rune of Mercury,60 percent,Verdant,Green,Zimbala,,Green Kite,74,10,https://portal.forgottenrunes.com/api/warriors/img/74,Atlas Hacker of Light
2,Bo Staff,5,Blue Boxing Shorts,Rune of Sigma,40 percent,Flesh,Green,Jungle Commando,Dirt Pig,,75,10,https://portal.forgottenrunes.com/api/warriors/img/75,Hardwin Nailer of the Coliseum
4,Red Shortsword,4,Brown Tunic Armor,,100 percent,Armor,Blue,Spiked Helm,,Frog Shield,76,9,https://portal.forgottenrunes.com/api/warriors/img/76,Dagon Armageddon of Brigands
2,Stratiotai Spear,4,Bone Warrior,,50 percent,Grey,Black,Lady of the Oasis,,White Holy Shield,77,9,https://portal.forgottenrunes.com/api/warriors/img/77,Teny Savior of Mount Titan
4,Rogue Falchion,5,Armor of Air,Rune of Saturn,80 percent,Crimson,Red,Loxodonta,,Yellow Buckler,78,10,https://portal.forgottenrunes.com/api/warriors/img/78,Luxor Dissector of the Tower
3,Partisan,4,Brown Tunic Armor,,75 percent,Medieval,Black,Basic Bro,,Frog Shield,79,9,https://portal.forgottenrunes.com/api/warriors/img/79,Doyle Defeater of the Arena
5,Bottle of Rune Beer,6,Traveller's Cloak Yellow,Rune of Brass,83 percent,Purple Haze,Purple,Meriotic Warrior,Null Goat,Peace Shield,80,11,https://portal.forgottenrunes.com/api/warriors/img/80,Lekan of the Dawn
3,Bottle of Rune Beer,5,Commando Fatigues,Rune of Earth,60 percent,Rugged,Green,Highlander,Mutant Snapping Turtle,,81,10,https://portal.forgottenrunes.com/api/warriors/img/81,Dormok of the Ruins
4,Blue Broadsword,6,Blue Knight,Rune of Mercury,66 percent,Blue Shift,Blue,Hibernian,Mutant Snapping Turtle,Blue Kite,82,11,https://portal.forgottenrunes.com/api/warriors/img/82,Juno Cleaver of the Range
4,Purple Longsword,6,Iron Knight of the Hills,Rune of Water,66 percent,Heavy,Green,Brigand,Gigas Hornet,Mushroom Shield,83,11,https://portal.forgottenrunes.com/api/warriors/img/83,Brock Champion of Honor
3,Goblin Axe,6,White Tunic Armor,Rune of Brimstone,50 percent,Darkness,Black,Grappler Giant,Night Wolf,Air Elemental Shield,84,11,https://portal.forgottenrunes.com/api/warriors/img/84,Dean Assailant of Scoundrels
5,Pantheon Spear,6,Desert Wear,Rune of Sun,83 percent,Desert,Purple,Desert Warrior,Royal Razorback,Kraken Shield,85,11,https://portal.forgottenrunes.com/api/warriors/img/85,Tariq Guardian of the Ruins
2,Butcher Knife,4,White Dominatrix Gear,,50 percent,Horror,Blue,Nubian,Nastyass Honey Badger,,86,9,https://portal.forgottenrunes.com/api/warriors/img/86,Rufaro Rapscallion of the Bloodfalls
3,Chakram,4,Gladiator's Cloak with Purple Briefs,,75 percent,Crimson,Blue,Jungle Commando,,Shield of the Sun,87,9,https://portal.forgottenrunes.com/api/warriors/img/87,Chase Savior of the Sun
3,Wratchet,6,Green Tunic Armor,Rune of Brass,50 percent,Verdant,Green,Zimbala,Mutant Snapping Turtle,Might Shield,88,11,https://portal.forgottenrunes.com/api/warriors/img/88,Hunter Nailer of the Villa
3,Bo Staff,5,Gladiator's Cloak with Purple Briefs,Rune of Venus,60 percent,Muscle,Black,Foot Soldier Helm,,Shield of Up Only,89,10,https://portal.forgottenrunes.com/api/warriors/img/89,Farrell Crusher of the Obelisk
3,Jungle Boomerang,6,Banded Armor of the Forest,Rune of Brimstone,50 percent,Verdant,Green,Fungus,Robo Dog,Wooden Buckler,90,11,https://portal.forgottenrunes.com/api/warriors/img/90,Foongie Thief of the Road
3,Bush Spear,5,Red Boxing Shorts,Rune of Jupiter,60 percent,Crimson,Red,Praetorian,Royal Razorback,,91,10,https://portal.forgottenrunes.com/api/warriors/img/91,Numerius Protector of the Ring
3,Katana,6,Purple Valkyrie Armor,Rune of Air,50 percent,Amber,Blue,Corsair,Spectacled Falcon,Mercenary Heater Shield,92,11,https://portal.forgottenrunes.com/api/warriors/img/92,Jules Ravager of the Elysian Fields
4,Brown Longsword,5,Gold Lamellar,Rune of Water,80 percent,Gladiator,Blue,Praetorian,,Tanker Heater Shield,93,10,https://portal.forgottenrunes.com/api/warriors/img/93,Maximus Bifurcator of the Arena
3,Wratchet,5,Street Punk with Teal Camo,Rune of Brimstone,60 percent,Darkness,Black,Moorish Girl,Onyx Panther,,94,10,https://portal.forgottenrunes.com/api/warriors/img/94,Sherry Pounder of the Underground
5,Blue Shortsword,6,North Woodland Cloak,Rune of Mars,83 percent,Armor,Blue,Athenian,Onyx Panther,Fire Shield,95,11,https://portal.forgottenrunes.com/api/warriors/img/95,Aurelia Sorrow of the Wild
4,Gladiator Sword,6,Kobold Captain Gear,Rune of Power,66 percent,Crimson,Red,Kobold Captain,Demon Hound,Red Herald Shield,96,11,https://portal.forgottenrunes.com/api/warriors/img/96,Skeet Wounder of the Road
3,Tuck,4,Classic Leather Barbarian Briefs,,75 percent,Gold,Blue,Action Hero,,Shield of Up Only,97,9,https://portal.forgottenrunes.com/api/warriors/img/97,Draco Miscreant of the Cockatrice
3,Goblin Axe,4,Brown Knight,,75 percent,Armor,Black,Xanthe,,Fire Shield,98,9,https://portal.forgottenrunes.com/api/warriors/img/98,Pari Vanquisher of the Mountain
4,Red Broadsword,6,Green Road Spandex,Rune of Steel,66 percent,Verdant,Green,Kempo,Onyx Panther,Green Kite,99,11,https://portal.forgottenrunes.com/api/warriors/img/99,Xin-jin Contender of Wizards
3,Yellow Chainsaw,6,Skylord Plate Armor,Rune of Fire,50 percent,Brute,Blue,Jarl Raider,Field Hound,Brown Kite,100,11,https://portal.forgottenrunes.com/api/warriors/img/100,Edge Truncator of Worlds
4,Sol Sword,5,Street Hoodlum,Rune of Water,80 percent,Blue Shift,Blue,Guardian Helm,Ultramarine Rhinoceros Beetle,,101,10,https://portal.forgottenrunes.com/api/warriors/img/101,Lance Shaver of the Duck Alliance
4,Blue Longsword,6,Dominion Plate Armor,Rune of Saturn,66 percent,Knight,Black,Executioner,Onyx Panther,Water Elemental Shield,102,11,https://portal.forgottenrunes.com/api/warriors/img/102,Auberon Striker of Destiny
4,Gladiator Sword,6,Goblin Footsoldier,Rune of Jupiter,66 percent,Brute,Black,Goblin,Onyx Panther,Wooden Buckler,103,11,https://portal.forgottenrunes.com/api/warriors/img/103,Al Cleaver of Wizards
3,Battle Axe,5,Bone Warrior,Rune of Mercury,60 percent,Grey,Blue,Bambam,,Green Buckler,104,10,https://portal.forgottenrunes.com/api/warriors/img/104,Zasha Death of the Tundra
3,Skull Sword,5,Black Dominatrix Gear,Rune of Steel,60 percent,Blackness,Black,Action Man,Grey Wolf,,105,10,https://portal.forgottenrunes.com/api/warriors/img/105,Rocco Dicer of Joy
3,Malachite Cleaver,6,Banded Armor of the Forest,Rune of Mercury,50 percent,Verdant,Green,Jungle Commando,Night Wolf,Wooden Buckler,106,11,https://portal.forgottenrunes.com/api/warriors/img/106,Spike Mercenary of Kobolds
4,Mug of Ale,6,Green Road Spandex,Rune of Brimstone,66 percent,Rugged,Green,Forgotten Lady,Rattlesnake,Yellow Kite,107,11,https://portal.forgottenrunes.com/api/warriors/img/107,Valentina of Wizards
4,Guardian Sword,6,Green Tunic Armor,Rune of Air,66 percent,Armor,Green,Fungus,Gigas Hornet,Mercenary Heater Shield,108,11,https://portal.forgottenrunes.com/api/warriors/img/108,Pooroo Hacker of Monsters
4,Wooden Hammer,6,Purple Tunic Armor,Rune of Uranus,66 percent,Knight,Red,Motor Assassin,Night Wolf,Fire Shield,109,11,https://portal.forgottenrunes.com/api/warriors/img/109,Draco Basher of Runes
3,Nunchaku,6,Xanthous Paladin Gear,Rune of Saturn,50 percent,Medieval,Black,Dune Man,Wild Eagle,Yellow Kite,110,11,https://portal.forgottenrunes.com/api/warriors/img/110,Griffin Blaster of the Dawn
4,Gladius,4,Green Medieval Livery,,100 percent,Heavy,Black,Barbarian,,Tomb Shield,111,9,https://portal.forgottenrunes.com/api/warriors/img/111,Stone Executor of Brigands
3,Scimitar,4,Green Medieval Livery,,75 percent,Medieval,Black,Action Hero,,Red Herald Shield,112,9,https://portal.forgottenrunes.com/api/warriors/img/112,Alexander Danger of Wizards
2,Stratiotai Spear,4,Yellow Wrestling Singlet,Rune of Steel,50 percent,Desert,Blue,Stunt Man,,,113,9,https://portal.forgottenrunes.com/api/warriors/img/113,Emerson Paragon of the Arena
5,Shortbow,6,Yellow Hedge Knight Armor,Rune of Brass,83 percent,Rugged,Red,Forgotten Man,Spectacled Falcon,Red Kite,114,11,https://portal.forgottenrunes.com/api/warriors/img/114,Zane Swindler or Scalawags
4,Longbow,6,Purple Valkyrie Armor,Rune of Cinnabar,66 percent,Purple Haze,Purple,Corsair,Null Goat,Purple Kite,115,11,https://portal.forgottenrunes.com/api/warriors/img/115,Alex Dispatcher of Shadows
3,Katana,6,Red Amazonian Jumpsuit,Rune of Water,50 percent,Forest,Black,Archipelagian,Rattlesnake,Butterfly Shield,116,11,https://portal.forgottenrunes.com/api/warriors/img/116,Dayo Nullifier of the Ridge
3,Chakram,4,Alabaster Paladin Gear,,75 percent,Gladiator,Black,Forgotten Man,,Yellow Buckler,117,9,https://portal.forgottenrunes.com/api/warriors/img/117,Vincent Vindicator of Titans
2,Silver Poleaxe,5,Gold Belt Ruffian,Rune of Neptune,40 percent,Grey,Black,Wrestler Giant,Mutant Snapping Turtle,,118,10,https://portal.forgottenrunes.com/api/warriors/img/118,Kaz Eidolon of Goblins
2,Stratiotai Spear,4,Commando Fatigues,Rune of Saturn,50 percent,Verdant,Green,Green Knight Helm,,,119,9,https://portal.forgottenrunes.com/api/warriors/img/119,Henry Eidolon of the Ditch
4,Bo Staff,6,Northern Barbarian,Rune of Brimstone,66 percent,Wild,Green,Lady of the Oasis,Hamadryas Baboon,Wolf Shield,120,11,https://portal.forgottenrunes.com/api/warriors/img/120,Margaret Breaker of Titans
3,Partisan,6,Fur Barbarian,Rune of Mercury,50 percent,Gladiator,Black,Gladiator Helmet,Golden Jaguar,Gold Herald Shield,121,11,https://portal.forgottenrunes.com/api/warriors/img/121,Marcellus Eidolon of the Rock
3,Bone Club,6,Aura Knight with Red Cloak,Rune of Uranus,50 percent,Amber,Black,South Sider,Golden Jaguar,Yellow Buckler,122,11,https://portal.forgottenrunes.com/api/warriors/img/122,Crash Knockout of the Wild
4,Blue Broadsword,6,Prism Armor,Rune of Uranus,66 percent,Heavy,Black,Blue Knight Helm,Night Wolf,Tomb Shield,123,11,https://portal.forgottenrunes.com/api/warriors/img/123,Lance Dicer of Birds
3,Red Shortsword,6,Blue Hedge Knight Armor,Rune of Air,50 percent,Knight,Blue,Prisma Helm,Northern Lynx,Bolt Shield,124,11,https://portal.forgottenrunes.com/api/warriors/img/124,Auberon Eradicator of the Mountain
2,,3,Classic Gold Barbarian Briefs,,66 percent,Amber,Black,Dune Man,,Yellow Buckler,125,8,https://portal.forgottenrunes.com/api/warriors/img/125,Atlas Attacker of the Rock
3,Wooden Hammer,5,White One Piece,Rune of Venus,60 percent,Flesh,Black,Forgotten Lady,,Purple Kite,126,10,https://portal.forgottenrunes.com/api/warriors/img/126,Molly Neutralizer of Thieves
4,Scimitar,4,Surd Armor,,100 percent,Armor,Blue,Lady of the Mountain,,Iron Buckler,127,9,https://portal.forgottenrunes.com/api/warriors/img/127,Agnes Cutter of the North
2,,3,Murmillo Gear,,66 percent,Brownish,Black,Templar,,Purple Kite,128,8,https://portal.forgottenrunes.com/api/warriors/img/128,Romney Cutter of the Obelisk
